"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 02월 20일","55.54","55.54","55.54","55.54","-","-0.20%"
"2020년 02월 19일","55.65","55.65","55.65","55.65","-","0.91%"
"2020년 02월 18일","55.15","55.15","55.15","55.15","-","-0.34%"
"2020년 02월 14일","55.34","55.34","55.34","55.34","-","0.69%"
"2020년 02월 13일","54.96","54.96","54.96","54.96","-","0.68%"
"2020년 02월 12일","54.59","54.59","54.59","54.59","-","2.06%"
"2020년 02월 11일","53.49","53.49","53.49","53.49","-","0.92%"
"2020년 02월 10일","53.00","53.00","53.00","53.00","-","-2.00%"
"2020년 02월 07일","54.08","54.08","54.08","54.08","-","-0.52%"
"2020년 02월 06일","54.36","54.36","54.36","54.36","-","-0.31%"
"2020년 02월 05일","54.53","54.53","54.53","54.53","-","2.67%"
"2020년 02월 04일","53.11","53.11","53.11","53.11","-","-0.73%"
"2020년 02월 03일","53.50","53.50","53.50","53.50","-","-16.78%"
"2020년 01월 31일","64.29","64.29","64.29","64.29","-","0.19%"
"2020년 01월 30일","64.17","64.17","64.17","64.17","-","-0.31%"
"2020년 01월 29일","64.37","64.37","64.37","64.37","-","0.05%"
"2020년 01월 28일","64.34","64.34","64.34","64.34","-","-0.05%"
"2020년 01월 27일","64.37","64.37","64.37","64.37","-","-0.42%"
"2020년 01월 24일","64.64","64.64","64.64","64.64","-","-0.46%"
"2020년 01월 23일","64.94","64.94","64.94","64.94","-","-0.49%"
"2020년 01월 22일","65.26","65.26","65.26","65.26","-","-0.50%"
"2020년 01월 21일","65.59","65.59","65.59","65.59","-","-0.24%"
"2020년 01월 17일","65.75","65.75","65.75","65.75","-","0.02%"
"2020년 01월 16일","65.74","65.74","65.74","65.74","-","0.38%"
"2020년 01월 15일","65.49","65.49","65.49","65.49","-","-0.53%"
"2020년 01월 14일","65.84","65.84","65.84","65.84","-","0.18%"
"2020년 01월 13일","65.72","65.72","65.72","65.72","-","-0.53%"
"2020년 01월 10일","66.07","66.07","66.07","66.07","-","-0.12%"
"2020년 01월 09일","66.15","66.15","66.15","66.15","-","0.23%"
"2020년 01월 08일","66.00","66.00","66.00","66.00","-","-2.83%"
"2020년 01월 07일","67.92","67.92","67.92","67.92","-","-0.53%"
"2020년 01월 06일","68.28","68.28","68.28","68.28","-","0.66%"
"2020년 01월 03일","67.83","67.83","67.83","67.83","-","3.65%"
"2020년 01월 02일","65.44","65.44","65.44","65.44","-","0.85%"
"2019년 12월 31일","64.89","64.89","64.89","64.89","-","0.06%"
"2019년 12월 30일","64.85","64.85","64.85","64.85","-","0.05%"
"2019년 12월 27일","64.82","64.82","64.82","64.82","-","-0.02%"
"2019년 12월 26일","64.83","64.83","64.83","64.83","-","0.06%"
"2019년 12월 24일","64.79","64.79","64.79","64.79","-","0.22%"
"2019년 12월 23일","64.65","64.65","64.65","64.65","-","0.03%"
"2019년 12월 20일","64.63","64.63","64.63","64.63","-","-0.11%"
"2019년 12월 19일","64.70","64.70","64.70","64.70","-","0.25%"
"2019년 12월 18일","64.54","64.54","64.54","64.54","-","0.02%"
"2019년 12월 17일","64.53","64.53","64.53","64.53","-","0.53%"
"2019년 12월 16일","64.19","64.19","64.19","64.19","-","0.11%"
"2019년 12월 13일","64.12","64.12","64.12","64.12","-","1.04%"
"2019년 12월 12일","63.46","63.46","63.46","63.46","-","0.76%"
"2019년 12월 11일","62.98","62.98","62.98","62.98","-","-0.82%"
"2019년 12월 10일","63.50","63.50","63.50","63.50","-","0.25%"
