"날짜","종가","오픈","고가","저가","변동 %"
"2018년 07월 11일","139.12","139.01","139.78","138.61","0.09%"
"2018년 07월 10일","138.99","138.68","139.67","138.35","0.19%"
"2018년 07월 09일","138.72","138.91","139.29","138.46","-0.14%"
"2018년 07월 06일","138.91","138.83","139.22","138.23","0.04%"
"2018년 07월 05일","138.85","137.62","139.22","137.38","0.87%"
"2018년 07월 04일","137.65","137.13","137.94","136.85","0.41%"
"2018년 07월 03일","137.09","136.89","137.72","136.61","0.13%"
"2018년 07월 02일","136.91","136.91","137.32","136.26","0.00%"
"2018년 06월 29일","136.91","136.98","137.64","135.99","-0.02%"
"2018년 06월 28일","136.94","137.08","137.58","136.79","-0.15%"
"2018년 06월 27일","137.14","137.62","137.78","136.91","-0.34%"
"2018년 06월 26일","137.61","137.64","138.19","137.23","-0.03%"
"2018년 06월 25일","137.65","137.40","138.17","137.04","0.17%"
"2018년 06월 22일","137.42","136.63","137.62","136.45","0.57%"
"2018년 06월 21일","136.64","135.72","136.94","135.16","0.69%"
"2018년 06월 20일","135.71","135.84","136.09","134.86","-0.10%"
"2018년 06월 19일","135.85","135.80","136.39","135.41","0.05%"
"2018년 06월 18일","135.78","135.46","136.05","134.97","0.26%"
"2018년 06월 15일","135.43","133.84","135.94","133.59","1.18%"
"2018년 06월 14일","133.85","135.58","135.73","133.82","-1.28%"
"2018년 06월 13일","135.58","134.34","135.65","134.08","0.92%"
"2018년 06월 12일","134.35","133.89","134.87","133.27","0.34%"
"2018년 06월 11일","133.89","133.44","134.16","133.10","0.34%"
"2018년 06월 08일","133.43","133.14","133.87","132.72","0.27%"
"2018년 06월 07일","133.07","131.98","133.43","131.91","0.80%"
"2018년 06월 06일","132.02","132.15","132.32","131.42","-0.10%"
"2018년 06월 05일","132.15","131.83","132.35","131.36","0.23%"
"2018년 06월 04일","131.85","130.80","132.22","130.74","0.66%"
"2018년 06월 01일","130.99","132.15","132.35","130.79","-0.85%"
"2018년 05월 31일","132.11","131.59","132.46","131.26","0.36%"
"2018년 05월 30일","131.64","130.95","132.22","130.23","0.57%"
