날짜,종가,오픈,고가,저가,변동 %
2017년 08월 14일,1.7563,1.7664,1.7698,1.7503,-0.68%
2017년 08월 11일,1.7684,1.7619,1.7715,1.758,0.25%
2017년 08월 10일,1.764,1.7551,1.7717,1.753,0.36%
2017년 08월 09일,1.7576,1.7372,1.7608,1.7337,0.99%
2017년 08월 08일,1.7404,1.7268,1.7425,1.7217,0.62%
2017년 08월 07일,1.7296,1.7338,1.7386,1.7259,-0.29%
2017년 08월 04일,1.7346,1.7372,1.7402,1.7285,-0.31%
2017년 08월 03일,1.74,1.7219,1.743,1.7219,0.92%
2017년 08월 02일,1.7242,1.7135,1.7267,1.7117,0.51%
2017년 08월 01일,1.7155,1.7206,1.7296,1.7123,-0.45%
2017년 07월 31일,1.7233,1.717,1.7268,1.7087,0.16%
2017년 07월 28일,1.7206,1.7183,1.7348,1.7156,0.01%
2017년 07월 27일,1.7204,1.7253,1.7326,1.7143,-0.39%
2017년 07월 26일,1.7272,1.7201,1.7288,1.7166,0.26%
2017년 07월 25일,1.7228,1.7077,1.7285,1.7065,0.68%
2017년 07월 24일,1.7111,1.7161,1.7207,1.706,-0.40%
2017년 07월 21일,1.718,1.7163,1.7231,1.7095,-0.03%
2017년 07월 20일,1.7185,1.7186,1.726,1.7137,-0.13%
2017년 07월 19일,1.7207,1.7137,1.7227,1.7061,0.21%
2017년 07월 18일,1.7171,1.7057,1.7218,1.6964,0.48%
2017년 07월 17일,1.7089,1.7141,1.7258,1.7048,-0.47%
2017년 07월 14일,1.7169,1.7185,1.724,1.7101,-0.25%
2017년 07월 13일,1.7212,1.714,1.7258,1.7096,0.27%
2017년 07월 12일,1.7166,1.7207,1.7271,1.7125,-0.44%
2017년 07월 11일,1.7241,1.7216,1.7308,1.7196,-0.04%
2017년 07월 10일,1.7248,1.7264,1.7312,1.7182,-0.27%
2017년 07월 07일,1.7294,1.7366,1.742,1.7256,-0.55%
2017년 07월 06일,1.739,1.7296,1.7405,1.7258,0.44%
2017년 07월 05일,1.7314,1.732,1.7386,1.7273,-0.15%
2017년 07월 04일,1.734,1.7347,1.7409,1.7288,-0.13%
2017년 07월 03일,1.7363,1.7203,1.7367,1.7142,0.79%
2017년 06월 30일,1.7227,1.7232,1.7278,1.7146,-0.12%
2017년 06월 29일,1.7248,1.7138,1.729,1.7124,0.48%
2017년 06월 28일,1.7165,1.717,1.7294,1.7133,-0.16%
2017년 06월 27일,1.7192,1.7113,1.726,1.7112,0.28%
