exchange,year,week,CTRY_2
0.2962,2016,45,페루
0.2911,2016,46,페루
0.2925,2016,47,페루
0.2925,2016,48,페루
0.2926,2016,49,페루
0.2941,2016,50,페루
0.2926,2016,51,페루
0.2952,2016,52,페루
0.2968,2017,1,페루
0.2955,2017,2,페루
0.2968,2017,3,페루
0.3037,2017,4,페루
0.3039,2017,5,페루
0.3041,2017,6,페루
0.3068,2017,7,페루
0.308,2017,8,페루
0.3076,2017,9,페루
0.3035,2017,10,페루
0.3046,2017,11,페루
0.3079,2017,12,페루
0.3081,2017,13,페루
0.308,2017,14,페루
0.308,2017,15,페루
0.3071,2017,16,페루
0.3082,2017,17,페루
0.3083,2017,18,페루
0.3043,2017,19,페루
0.306,2017,20,페루
0.3051,2017,21,페루
0.3045,2017,22,페루
0.3061,2017,23,페루
0.3049,2017,24,페루
0.3054,2017,25,페루
0.3073,2017,26,페루
0.307,2017,27,페루
0.3073,2017,28,페루
0.308,2017,29,페루
0.3082,2017,30,페루
0.3085,2017,31,페루
0.3085,2017,32,페루
0.3084,2017,33,페루
0.3088,2017,34,페루
0.3088,2017,35,페루
0.3089,2017,36,페루
0.3095,2017,37,페루
0.3081,2017,38,페루
0.3068,2017,39,페루
0.3055,2017,40,페루
0.3056,2017,41,페루
0.3084,2017,42,페루
0.3088,2017,43,페루
0.3078,2017,44,페루
0.3089,2017,45,페루
0.3086,2017,46,페루
0.3089,2017,47,페루
0.3091,2017,48,페루
0.3094,2017,49,페루
0.3091,2017,50,페루
0.3049,2017,51,페루
0.3091,2017,52,페루
0.3089,2018,1,페루
0.311,2018,2,페루
