"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 30일","70.95","70.95","70.95","70.95","-","0.03%"
"2019년 04월 29일","70.93","70.93","70.93","70.93","-","-0.04%"
"2019년 04월 26일","70.96","70.96","70.96","70.96","-","-0.24%"
"2019년 04월 25일","71.13","71.13","71.13","71.13","-","-0.10%"
"2019년 04월 24일","71.20","71.20","71.20","71.20","-","0.14%"
"2019년 04월 23일","71.10","71.10","71.10","71.10","-","0.11%"
"2019년 04월 22일","71.02","71.02","71.02","71.02","-","0.92%"
"2019년 04월 18일","70.37","70.37","70.37","70.37","-","0.31%"
"2019년 04월 17일","70.15","70.15","70.15","70.15","-","-0.13%"
"2019년 04월 16일","70.24","70.24","70.24","70.24","-","0.59%"
"2019년 04월 15일","69.83","69.83","69.83","69.83","-","-0.21%"
"2019년 04월 12일","69.98","69.98","69.98","69.98","-","0.40%"
"2019년 04월 11일","69.70","69.70","69.70","69.70","-","-0.98%"
"2019년 04월 10일","70.39","70.39","70.39","70.39","-","1.05%"
"2019년 04월 09일","69.66","69.66","69.66","69.66","-","-0.61%"
"2019년 04월 08일","70.09","70.09","70.09","70.09","-","0.52%"
"2019년 04월 05일","69.73","69.73","69.73","69.73","-","1.09%"
"2019년 04월 04일","68.98","68.98","68.98","68.98","-","0.23%"
"2019년 04월 03일","68.82","68.82","68.82","68.82","-","-0.10%"
"2019년 04월 02일","68.89","68.89","68.89","68.89","-","0.63%"
"2019년 04월 01일","68.46","68.46","68.46","68.46","-","2.29%"
"2019년 03월 29일","66.93","66.93","66.93","66.93","-","0.06%"
"2019년 03월 28일","66.89","66.89","66.89","66.89","-","-0.04%"
"2019년 03월 27일","66.92","66.92","66.92","66.92","-","-0.07%"
"2019년 03월 26일","66.97","66.97","66.97","66.97","-","0.12%"
"2019년 03월 25일","66.89","66.89","66.89","66.89","-","-0.01%"
"2019년 03월 22일","66.90","66.90","66.90","66.90","-","-0.28%"
"2019년 03월 21일","67.09","67.09","67.09","67.09","-","-0.37%"
"2019년 03월 20일","67.34","67.34","67.34","67.34","-","0.43%"
"2019년 03월 19일","67.05","67.05","67.05","67.05","-","0.04%"
"2019년 03월 18일","67.02","67.02","67.02","67.02","-","0.22%"
"2019년 03월 15일","66.87","66.87","66.87","66.87","-","-0.10%"
"2019년 03월 14일","66.94","66.94","66.94","66.94","-","-0.36%"
"2019년 03월 13일","67.18","67.18","67.18","67.18","-","0.83%"
"2019년 03월 12일","66.63","66.63","66.63","66.63","-","0.06%"
"2019년 03월 11일","66.59","66.59","66.59","66.59","-","0.86%"
"2019년 03월 08일","66.02","66.02","66.02","66.02","-","-0.62%"
"2019년 03월 07일","66.43","66.43","66.43","66.43","-","0.45%"
"2019년 03월 06일","66.13","66.13","66.13","66.13","-","0.41%"
"2019년 03월 05일","65.86","65.86","65.86","65.86","-","0.38%"
"2019년 03월 04일","65.61","65.61","65.61","65.61","-","0.94%"
"2019년 03월 01일","65.00","65.00","65.00","65.00","-","0.65%"
"2019년 02월 28일","64.58","64.58","64.58","64.58","-","-0.03%"
"2019년 02월 27일","64.60","64.60","64.60","64.60","-","0.11%"
"2019년 02월 26일","64.53","64.53","64.53","64.53","-","0.05%"
"2019년 02월 25일","64.50","64.50","64.50","64.50","-","-0.65%"
"2019년 02월 22일","64.92","64.92","64.92","64.92","-","-0.02%"
"2019년 02월 21일","64.93","64.93","64.93","64.93","-","-0.03%"
"2019년 02월 20일","64.95","64.95","64.95","64.95","-","0.45%"
"2019년 02월 19일","64.66","64.66","64.66","64.66","-","-0.03%"
"2019년 02월 15일","64.68","64.68","64.68","64.68","-","0.97%"
"2019년 02월 14일","64.06","64.06","64.06","64.06","-","1.22%"
"2019년 02월 13일","63.29","63.29","63.29","63.29","-","1.25%"
"2019년 02월 12일","62.51","62.51","62.51","62.51","-","1.39%"
"2019년 02월 11일","61.65","61.65","61.65","61.65","-","-0.82%"
"2019년 02월 08일","62.16","62.16","62.16","62.16","-","0.60%"
"2019년 02월 07일","61.79","61.79","61.79","61.79","-","-1.47%"
"2019년 02월 06일","62.71","62.71","62.71","62.71","-","1.01%"
"2019년 02월 05일","62.08","62.08","62.08","62.08","-","-0.75%"
"2019년 02월 04일","62.55","62.55","62.55","62.55","-","-0.11%"
"2019년 02월 01일","62.62","62.62","62.62","62.62","-","5.99%"
"2019년 01월 31일","59.08","59.08","59.08","59.08","-","0.05%"
"2019년 01월 30일","59.05","59.05","59.05","59.05","-","0.00%"
"2019년 01월 29일","59.05","59.05","59.05","59.05","-","0.22%"
"2019년 01월 28일","58.92","58.92","58.92","58.92","-","-0.52%"
"2019년 01월 25일","59.23","59.23","59.23","59.23","-","0.12%"
"2019년 01월 24일","59.16","59.16","59.16","59.16","-","0.14%"
"2019년 01월 23일","59.08","59.08","59.08","59.08","-","-0.03%"
"2019년 01월 22일","59.10","59.10","59.10","59.10","-","-0.71%"
"2019년 01월 18일","59.52","59.52","59.52","59.52","-","1.12%"
"2019년 01월 17일","58.86","58.86","58.86","58.86","-","-0.02%"
"2019년 01월 16일","58.87","58.87","58.87","58.87","-","0.62%"
"2019년 01월 15일","58.51","58.51","58.51","58.51","-","1.51%"
"2019년 01월 14일","57.64","57.64","57.64","57.64","-","-1.27%"
"2019년 01월 11일","58.38","58.38","58.38","58.38","-","-1.20%"
"2019년 01월 10일","59.09","59.09","59.09","59.09","-","0.32%"
"2019년 01월 09일","58.90","58.90","58.90","58.90","-","3.57%"
"2019년 01월 08일","56.87","56.87","56.87","56.87","-","2.25%"
"2019년 01월 07일","55.62","55.62","55.62","55.62","-","0.27%"
"2019년 01월 04일","55.47","55.47","55.47","55.47","-","1.30%"
"2019년 01월 03일","54.76","54.76","54.76","54.76","-","1.61%"
"2019년 01월 02일","53.89","53.89","53.89","53.89","-","-5.98%"
"2018년 12월 31일","57.32","57.32","57.32","57.32","-","0.00%"
"2018년 12월 28일","57.32","57.32","57.32","57.32","-","0.07%"
"2018년 12월 27일","57.28","57.28","57.28","57.28","-","-0.24%"
"2018년 12월 26일","57.42","57.42","57.42","57.42","-","0.86%"
"2018년 12월 24일","56.93","56.93","56.93","56.93","-","-0.96%"
"2018년 12월 21일","57.48","57.48","57.48","57.48","-","-0.09%"
"2018년 12월 20일","57.53","57.53","57.53","57.53","-","-1.17%"
"2018년 12월 19일","58.21","58.21","58.21","58.21","-","0.50%"
"2018년 12월 18일","57.92","57.92","57.92","57.92","-","-2.06%"
"2018년 12월 17일","59.14","59.14","59.14","59.14","-","-0.35%"
"2018년 12월 14일","59.35","59.35","59.35","59.35","-","-0.95%"
"2018년 12월 13일","59.92","59.92","59.92","59.92","-","1.15%"
"2018년 12월 12일","59.24","59.24","59.24","59.24","-","0.17%"
"2018년 12월 11일","59.14","59.14","59.14","59.14","-","0.22%"
"2018년 12월 10일","59.01","59.01","59.01","59.01","-","-1.98%"
"2018년 12월 07일","60.20","60.20","60.20","60.20","-","1.67%"
"2018년 12월 06일","59.21","59.21","59.21","59.21","-","-2.07%"
"2018년 12월 05일","60.46","60.46","60.46","60.46","-","-0.97%"
"2018년 12월 04일","61.05","61.05","61.05","61.05","-","0.88%"
"2018년 12월 03일","60.52","60.52","60.52","60.52","-","-7.69%"
"2018년 11월 30일","65.56","65.56","65.56","65.56","-","-0.05%"
"2018년 11월 29일","65.59","65.59","65.59","65.59","-","0.11%"
"2018년 11월 28일","65.52","65.52","65.52","65.52","-","-0.11%"
"2018년 11월 27일","65.59","65.59","65.59","65.59","-","-0.06%"
"2018년 11월 26일","65.63","65.63","65.63","65.63","-","0.43%"
"2018년 11월 23일","65.35","65.35","65.35","65.35","-","-1.68%"
"2018년 11월 21일","66.47","66.47","66.47","66.47","-","0.62%"
"2018년 11월 20일","66.06","66.06","66.06","66.06","-","-2.39%"
"2018년 11월 19일","67.68","67.68","67.68","67.68","-","0.12%"
"2018년 11월 16일","67.60","67.60","67.60","67.60","-","0.07%"
